the_following_sources_are_not_included_in_the_joint_child_malnutrition_estimates_database,unnamed_1,unnamed_2,unnamed_3,unnamed_4,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12
GRC,GREECE,2012,Other,"De Miguel-Etayo P, Mesana MI, Cardon G, De Bourdeaudhuij I, Góźdź M, Socha P, Lateva M, Iotova V, Koletzko BV, Duvinage K, Androutsos O, Manios Y, Moreno LA; ToyBox-study group. ",Reliability of anthropometric measurements in European preschool children: the ToyBox-study. Obes Rev. 2014 Aug;15 Suppl 3:67-73. doi: 10.1111/obr.12181. PMID: 25047381.,03623,9277,x,x,x,x,x
GNB,GUINEA-BISSAU,2006,MICS,Ministère de l`Economie - Secrétariat d`Etat du Plan et à l`Intégration Régionale.,"Enquête par grappes à indicateurs multiples, Guinée-Bissau, 2006, Rapport final. Bissau, Guinée-Bissau : Ministère de l`Economie - Secrétariat d`Etat du Plan et à l`Intégration Régionale, 2006",02884,278,x,x,x,x,x
HUN,HUNGARY,2010,Other,"Joubert, Kálmán – Gyenis, Gyula","The Hungarian Longitudinal Growth Study: From birth to the age of 18 years. Working Papers on Population, Family and Welfare, No. 23, Hungarian Demographic Research Institute, Budapest.",09785,9279,x,x,x,x,x
HUN,HUNGARY,2015,Surveillance,"National Public Health Center, Hungary",Hungary 2015 Regional Midwife Data,09786,8942,x,x,x,x,x
HUN,HUNGARY,2016,Surveillance,"National Public Health Center, Hungary",Hungary 2016 Regional Midwife Data,09787,8943,x,x,x,x,x
HUN,HUNGARY,2017,Surveillance,"National Public Health Center, Hungary",Hungary 2017 Regional Midwife Data,09788,8944,x,x,x,x,x
HUN,HUNGARY,2018,Surveillance,"National Public Health Center, Hungary",Hungary 2018 Regional Midwife Data,09789,8945,x,x,x,x,x
HUN,HUNGARY,2019,Surveillance,"National Public Health Center, Hungary",Hungary 2019 Regional Midwife Data,09790,8946,x,x,x,x,x
HUN,HUNGARY,2019,EHIS,Hungary Central Statistics Office,"Hungary European Health Interview Survey, Wave 3",03645,4499,x,x,x,x,x
HUN,HUNGARY,2020,Surveillance,"National Public Health Center, Hungary",Hungary 2020 Regional Midwife Data,11320,9280,x,x,x,x,x
HUN,HUNGARY,2021,Surveillance,"National Public Health Center, Hungary",Hungary 2021 Regional Midwife Data,11321,9281,x,x,x,x,x
IND,INDIA,2004-2005,Other,"Desai, Sonalde, University of Maryland; Vanneman, Reeve, University of Maryland; National Council of Applied Economic Research, New Delhi",India Human Development Survey (IHDS) 2004/05,05111,1055,x,x,x,x,x
